"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W10_49","10-49","2014","2014",34.35,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W10_49","10-49","2016","2016",16.32,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W10_49","10-49","2018","2018",15.29,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W10_49","10-49","2020","2020",54.75,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W_GE10","10 and over","2014","2014",33.63,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W_GE10","10 and over","2016","2016",17.13,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W_GE10","10 and over","2018","2018",17.59,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W_GE10","10 and over","2020","2020",56.06,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W50_99","50-99","2014","2014",31.03,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W50_99","50-99","2016","2016",20.33,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W50_99","50-99","2018","2018",25.52,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W50_99","50-99","2020","2020",59.67,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W100_249","100-249","2014","2014",27.59,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W100_249","100-249","2016","2016",20.41,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W100_249","100-249","2018","2018",36.98,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W100_249","100-249","2020","2020",63.97,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W_GE250","250 and over","2014","2014",24.29,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W_GE250","250 and over","2016","2016",34,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W_GE250","250 and over","2018","2018",44.35,,
"IT","Italy","E_CC_PEM_PERC","e-mail","C","manufacturing","W_GE250","250 and over","2020","2020",80.73,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W10_49","10-49","2014","2014",36.17,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W10_49","10-49","2016","2016",16.77,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W10_49","10-49","2018","2018",14.45,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W10_49","10-49","2020","2020",55.54,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W_GE10","10 and over","2014","2014",36.44,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W_GE10","10 and over","2016","2016",17.07,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W_GE10","10 and over","2018","2018",15.28,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W_GE10","10 and over","2020","2020",56.04,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W50_99","50-99","2014","2014",41.16,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W50_99","50-99","2016","2016",21.5,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W50_99","50-99","2018","2018",23.75,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W50_99","50-99","2020","2020",60.91,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W100_249","100-249","2014","2014",39.46,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W100_249","100-249","2016","2016",19.16,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W100_249","100-249","2018","2018",34.11,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W100_249","100-249","2020","2020",64.58,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W_GE250","250 and over","2014","2014",45.69,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W_GE250","250 and over","2016","2016",36.86,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W_GE250","250 and over","2018","2018",44.34,,
"IT","Italy","E_CC_PEM_PERC","e-mail","F","construction","W_GE250","250 and over","2020","2020",83.9,,
"IT","Italy","E_CC_PEM_PERC","e-mail","G","wholesale and retail trade repair of motor vehicles and motorcycles","W_GE10","10 and over","2014","2014",33.98,,
"IT","Italy","E_CC_PEM_PERC","e-mail","G","wholesale and retail trade repair of motor vehicles and motorcycles","W_GE10","10 and over","2016","2016",18.17,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","G","wholesale and retail trade repair of motor vehicles and motorcycles","W_GE10","10 and over","2018","2018",20.09,,
"IT","Italy","E_CC_PEM_PERC","e-mail","G","wholesale and retail trade repair of motor vehicles and motorcycles","W_GE10","10 and over","2020","2020",58.87,,
